"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A560","2020-04-09 00:00:00","405.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0T9I0","2020-04-09 00:00:00","152.000","206.000","0.900","18.600","0.970","1000.900","","7.000","-99.000","-99.000","-99.000","23.800","","16.500",""
"C0O980","2020-04-09 00:00:00","18.000","0.000","0.100","19.200","0.960","1015.700","","0.000","-99.000","-99.000","-99.000","28.000","","15.700",""
"C0R270","2020-04-09 00:00:00","51.000","9.000","1.000","22.000","0.950","1009.400","","0.000","-99.000","-99.000","-99.000","26.300","","19.100",""
"C0T9H0","2020-04-09 00:00:00","725.000","10.000","2.800","15.600","0.990","936.400","","4.500","-99.000","-99.000","-99.000","19.700","","12.900",""
"C0A660","2020-04-09 00:00:00","97.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0A890","2020-04-09 00:00:00","40.000","0.000","0.000","16.600","0.970","1012.900","","0.500","-99.000","-99.000","-99.000","18.800","","14.900",""
"C0O840","2020-04-09 00:00:00","134.000","85.000","0.800","18.000","1.000","999.200","","0.000","-99.000","-99.000","-99.000","26.300","","14.400",""
"C0R530","2020-04-09 00:00:00","16.000","349.000","3.000","21.600","0.760","1014.600","","0.000","-99.000","-99.000","-99.000","24.800","","17.500",""
"C0G870","2020-04-09 00:00:00","12.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0M820","2020-04-09 00:00:00","980.000","89.000","0.600","16.100","0.880","908.600","","0.000","-99.000","-99.000","-99.000","22.400","","14.000",""
"C0F9S0","2020-04-09 00:00:00","43.000","335.000","1.700","20.400","0.750","1011.800","","0.000","-99.000","-99.000","-99.000","26.400","","16.100",""
"C0R160","2020-04-09 00:00:00","45.000","28.000","1.000","20.700","0.990","1010.600","","0.000","-99.000","-99.000","-99.000","27.800","","17.000",""
"C0A950","2020-04-09 00:00:00","60.000","35.000","5.200","18.300","0.990","1011.400","","0.500","-99.000","-99.000","-99.000","20.200","","18.000",""
"C0R550","2020-04-09 00:00:00","38.000","288.000","0.500","20.900","1.000","1012.800","","0.000","-99.000","-99.000","-99.000","27.100","","16.800",""
"C0V530","2020-04-09 00:00:00","34.000","44.000","1.200","20.100","1.000","1012.300","","0.000","-99.000","-99.000","-99.000","27.200","","15.700",""
